orden,variable,nombre_largo,descripcion,categoria_analitica,tipo_pandas,tipo_shapefile_dbf,n_registros,n_nulos,n_unicos,valor_minimo,valor_maximo,ejemplo_valor,observaciones_uso
19,CONCATENAR,Campo concatenado territorial,"Concatenación textual de región, provincia y distrito; útil como campo auxiliar pero no como llave principal.",Campo auxiliar,string,str:254,563,0,495,,,APURIMACABANCAYCURAHUASI,
20,FUENTE,Fuente,Fuente institucional declarada por el dataset.,Metadato,string,str:254,563,0,1,,,"Ministerio de Transportes y Comunicaciones (MTC). Programa Nacional de Telecomunicaciones (PRONATEL), febrero de 2022",
21,UBIGEO,UBIGEO distrital,Código geográfico distrital de 6 dígitos. Es la llave recomendada para cruces con datasets distritales.,Llave territorial,string,str:254,563,0,495,,,030104,Mantener como texto; no convertir a número.
22,XCENT,Longitud centroide/punto,Coordenada X/longitud declarada en atributos.,Coordenada,float64,float:32.10,563,0,548,-80.975932,-69.057076,-72.696012,
23,YCENT,Latitud centroide/punto,Coordenada Y/latitud declarada en atributos.,Coordenada,float64,float:32.10,563,0,548,-18.158166,-0.375355,-13.541302,
24,geom_type,Tipo de geometría,Tipo espacial de la entidad. Para este dataset es Point.,Geometría derivada,object,derivado/no presente en DBF,563,0,1,,,Point,
25,geom_lon,Longitud desde geometría,Longitud extraída directamente de la geometría Point.,Geometría derivada,float64,derivado/no presente en DBF,563,0,548,-80.975932,-69.057076,-72.696012,
26,geom_lat,Latitud desde geometría,Latitud extraída directamente de la geometría Point.,Geometría derivada,float64,derivado/no presente en DBF,563,0,548,-18.158166,-0.375355,-13.541302,
27,coord_match_xcent,Validación coordenada X,Indica si XCENT coincide con la longitud de la geometría dentro de una tolerancia de 1e-6.,Control de calidad,bool,derivado/no presente en DBF,563,0,1,True,True,True,
28,coord_match_ycent,Validación coordenada Y,Indica si YCENT coincide con la latitud de la geometría dentro de una tolerancia de 1e-6.,Control de calidad,bool,derivado/no presente en DBF,563,0,1,True,True,True,
29,geometry_wkt,Geometría WKT,"Punto de ubicación de la dependencia policial en formato WKT, CRS EPSG:4326.",Geometría,object,derivado/no presente en DBF,563,0,548,,,POINT (-72.696012 -13.541302),
30,bbox_min_lon,Longitud mínima del bounding box,Para puntos coincide con la longitud de la geometría.,Geometría derivada,float64,derivado/no presente en DBF,563,0,548,-80.975932,-69.057076,-72.696012,
31,bbox_min_lat,Latitud mínima del bounding box,Para puntos coincide con la latitud de la geometría.,Geometría derivada,float64,derivado/no presente en DBF,563,0,548,-18.158166,-0.375355,-13.541302,
32,bbox_max_lon,Longitud máxima del bounding box,Para puntos coincide con la longitud de la geometría.,Geometría derivada,float64,derivado/no presente en DBF,563,0,548,-80.975932,-69.057076,-72.696012,
33,bbox_max_lat,Latitud máxima del bounding box,Para puntos coincide con la latitud de la geometría.,Geometría derivada,float64,derivado/no presente en DBF,563,0,548,-18.158166,-0.375355,-13.541302,
