orden,variable,nombre_largo,descripcion,categoria_analitica,tipo_pandas,tipo_shapefile_dbf,n_registros,n_nulos,n_unicos,valor_minimo,valor_maximo,ejemplo_valor,observaciones_uso
15,PES_CO_POR,Población con educación secundaria completa - porcentaje,Porcentaje asociado al componente educativo de población con educación secundaria completa.,Componente educación del IDH,float64,float:32.10,1874,0,1867,11.974433,91.744878,64.201942,
16,PESCO_RANK,Ranking de población con secundaria completa,Posición relativa del distrito según PES_CO_POR. 1 corresponde al mayor valor.,Ranking,float64,float:32.10,1874,0,1874,1.0,1874.0,651.0,
17,AE_ANNOS,Años de educación - años,Promedio/años de educación usado como componente educativo del IDH.,Componente educación del IDH,float64,float:32.10,1874,0,1874,1.957166,14.70027,4.197692,
18,AE_RANK,Ranking de años de educación,Posición relativa del distrito según años de educación. 1 corresponde al mayor valor.,Ranking,float64,float:32.10,1874,0,1874,1.0,1874.0,1687.0,
19,IFP_NS_MES,Ingreso familiar per cápita mensual - soles,Ingreso familiar per cápita mensual expresado en soles nominales por mes.,Componente ingresos del IDH,float64,float:32.10,1874,0,1874,51.073334,2037.326546,426.304264,
20,IFP_RANK,Ranking de ingreso familiar per cápita,Posición relativa del distrito según ingreso familiar per cápita. 1 corresponde al mayor valor.,Ranking,float64,float:32.10,1874,0,1874,1.0,1874.0,1102.0,
21,VN_EVN,Valor normalizado de EVN,Componente normalizado de esperanza de vida al nacer usado para el cálculo del IDH.,Variable normalizada,float64,float:32.10,1874,0,1860,0.425962,1.0,0.931117,
22,VN_PES_CO,Valor normalizado de PES_CO,Componente normalizado de población con secundaria completa.,Variable normalizada,float64,float:32.10,1874,0,1862,0.119744,0.917449,0.642019,
23,VN_AE,Valor normalizado de AE,Componente normalizado de años de educación.,Variable normalizada,float64,float:32.10,1874,0,1874,0.011068,0.90847,0.168852,
24,VN_LEDUC,Valor normalizado de logro educativo,Índice/valor normalizado combinado del logro educativo.,Variable normalizada,float64,float:32.10,1874,0,1869,0.063388,0.842659,0.329251,
25,VN_IFP,Valor normalizado de IFP,Componente normalizado de ingreso familiar per cápita.,Variable normalizada,float64,float:32.10,1874,0,1869,0.006521,0.812303,0.158744,
26,ESTRATIF,Rango de estratificación IDH,Rango de IDH usado para clasificar el distrito en quintiles.,Clasificación,object,str:40,1874,0,5,,,0.2420 - 0.3928,
27,COD_QUINT,Código de quintil,Código numérico del quintil de IDH. Según SLD: 1 es el quintil más alto y 5 el más bajo.,Clasificación,float64,float:32.10,1874,0,5,1.0,5.0,4.0,
28,QUINTIL,Quintil de IDH,Nombre del quintil de IDH: Primer Quintil a Quinto Quintil.,Clasificación,object,str:40,1874,0,5,,,Cuarto Quintil,
29,FUENTE,Fuente,Fuente institucional declarada en el dataset.,Metadato,object,str:250,1874,0,1,,,"Programa de las Naciones Unidas para el Desarrollo (PNUD), 2019. Unidad del Informe sobre Desarrollo Humano. Perú",
30,geometry_wkt,Geometría WKT,"Polígono o multipolígono del distrito en formato WKT, CRS EPSG:4326.",Geometría,object,derivado/no presente en DBF,1874,0,1874,,,"POLYGON ((-73.370713 -13.708458, -73.369706 -13.708836, -73.368614 -13.709256, -73.36769 -13.709886, -73.36622 -13.710852, -73.365002 -13.711482, -73.364246 -13.711944, -73.362904 -13.712783, -73.361583 -13.712775, -73.359966 -13.713194, -73.357941 -13.71415, -73.357499 -13.714434, -73.356799 -13.714716, -73.356321 -13.714964, -73.356009 -13.715204, -73.356001 -13.71521, -73.355767 -13.715391, -73.355252 -13.715603, -73.354626 -13.715957, -73.353778 -13.716525, -73.352855 -13.717344, -73.3523 -1",
31,geom_type,Tipo de geometría,Tipo espacial: Polygon o MultiPolygon.,Geometría,object,derivado/no presente en DBF,1874,0,2,,,Polygon,
32,bbox_min_lon,Longitud mínima del bounding box,Coordenada oeste del rectángulo envolvente del distrito.,Geometría derivada,float64,derivado/no presente en DBF,1874,0,1866,-81.32823,-68.918518,-73.386684,
33,bbox_min_lat,Latitud mínima del bounding box,Coordenada sur del rectángulo envolvente del distrito.,Geometría derivada,float64,derivado/no presente en DBF,1874,0,1870,-18.350928,-1.450718,-13.901302,
34,bbox_max_lon,Longitud máxima del bounding box,Coordenada este del rectángulo envolvente del distrito.,Geometría derivada,float64,derivado/no presente en DBF,1874,0,1868,-81.040738,-68.652279,-73.24501,
35,bbox_max_lat,Latitud máxima del bounding box,Coordenada norte del rectángulo envolvente del distrito.,Geometría derivada,float64,derivado/no presente en DBF,1874,0,1867,-18.075396,-0.038606,-13.707976,
36,centroid_lon,Longitud del centroide,Longitud del centroide geométrico de referencia del polígono.,Geometría derivada,float64,derivado/no presente en DBF,1874,0,1874,-81.202411,-68.878814,-73.323956,
37,centroid_lat,Latitud del centroide,Latitud del centroide geométrico de referencia del polígono.,Geometría derivada,float64,derivado/no presente en DBF,1874,0,1874,-18.199995,-0.655287,-13.809244,
38,area_geodesic_km2,Área geodésica km²,Área aproximada calculada sobre el elipsoide WGS84 a partir de la geometría original.,Geometría derivada,float64,derivado/no presente en DBF,1874,0,1874,0.7932,24171.4373,175.2363,
39,perimeter_geodesic_km,Perímetro geodésico km,Perímetro aproximado calculado sobre el elipsoide WGS84 a partir de la geometría original.,Geometría derivada,float64,derivado/no presente en DBF,1874,0,1873,5.9609,1869.279,62.4959,
